Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis (non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Mpox,Middle East Respiratory Syndrome,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox,HFMD
1,31/12/2023 - 6/1/2024,,0,0,1,2,1,0,0,0,305,0,0,0,0,0,2,0,0,0,1,0,13,0,0,0,0,1,4,0,21,0,0,0,0,0,0,0,0,0,2549,79,349,7,14
2,7/1/2024 - 13/1/2024,,0,0,0,1,3,0,0,0,394,0,1,0,0,0,8,0,0,0,1,3,10,0,0,1,0,3,3,0,23,0,1,0,0,0,0,1,0,0,2491,80,364,11,12
3,14/1/2024 - 20/1/2024,,0,1,2,0,1,0,0,0,409,0,3,0,0,0,8,0,0,0,1,0,9,1,6,2,0,1,2,0,25,0,0,0,0,0,0,0,0,0,2607,84,372,7,22
4,21/1/2024 - 27/1/2024,,0,2,0,0,0,0,0,0,428,2,0,0,0,1,5,0,0,0,0,1,8,1,4,0,0,2,2,0,20,0,0,0,0,0,0,0,0,0,2654,81,381,7,24
5,28/1/2024 - 3/2/2024,,0,1,2,1,0,0,0,0,485,1,0,0,0,0,3,0,0,0,2,0,12,0,0,1,0,0,5,0,26,0,0,0,0,0,0,1,0,0,2660,74,356,10,26
6,4/2/2024 - 10/2/2024,,0,1,0,2,1,0,0,0,514,1,0,0,0,0,8,0,0,0,1,0,7,0,3,0,0,3,0,0,17,0,2,0,0,0,0,1,1,0,2558,86,368,7,28
7,11/2/2024 - 17/2/2024,,0,0,1,1,1,0,0,0,426,4,0,0,0,0,5,0,0,0,0,0,7,0,2,0,0,1,0,0,26,0,0,0,0,0,0,2,1,0,2566,76,377,9,32
8,18/2/2024 - 24/2/2024,,0,0,0,1,0,0,0,0,459,1,0,0,0,0,4,0,0,0,1,0,14,0,0,0,0,3,4,0,20,0,0,0,0,0,0,1,0,0,2446,78,390,5,28
9,25/2/2024 - 2/3/2024,,0,0,2,0,0,0,0,0,368,2,0,1,0,0,4,0,0,0,0,1,8,1,0,0,0,2,6,0,26,0,0,0,0,0,0,1,1,0,2335,75,368,7,25
10,3/3/2024 - 9/3/2024,,0,0,0,2,1,0,0,0,365,2,1,1,0,0,3,0,0,0,0,2,4,0,1,1,0,3,1,0,9,0,0,0,0,0,0,0,2,0,2278,63,361,8,29
