Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,03/01/2021 , 09/01/2021,0,0,0,1,5,0,0,0,194,0,0,0,9,0,0,4,0,0,0,0,0,1,13,0,0,2,0,0,0,0,24,0,0,0,0,0,0,1,4777,242,1651,29
2,10/01/2021 , 16/01/2021,0,0,0,0,3,0,0,0,165,1,0,0,5,0,0,7,0,0,0,1,0,0,12,0,0,4,0,0,1,0,35,0,0,0,0,0,0,0,5762,271,1940,22
3,17/01/2021 , 23/01/2021,0,0,0,0,1,0,0,0,151,1,0,0,11,0,0,5,0,0,0,0,0,0,13,0,3,2,0,0,1,0,16,0,0,0,0,0,0,0,7826,303,1767,26
4,24/01/2021 , 30/01/2021,0,0,0,0,1,0,0,0,135,0,0,0,7,0,0,5,0,0,0,0,0,0,15,2,2,0,0,0,0,0,18,0,0,0,0,0,0,0,6742,262,1874,17
5,31/01/2021 , 06/02/2021,0,0,2,2,1,0,0,0,140,0,0,0,8,0,0,4,0,0,0,2,0,0,10,0,0,1,0,0,2,0,10,0,0,0,0,0,0,0,6558,322,1801,19
6,07/02/2021 , 13/02/2021,0,0,0,1,0,0,0,0,142,1,0,0,8,0,0,3,0,0,0,0,0,0,20,0,0,1,0,0,0,0,14,0,0,0,0,0,0,1,3753,201,1199,19
7,14/02/2021 , 20/02/2021,0,0,0,0,2,0,0,0,148,0,0,0,5,0,0,7,0,0,0,2,0,1,20,0,0,1,0,0,2,0,15,0,0,0,0,0,0,0,7073,365,1864,30
8,21/02/2021 , 27/02/2021,0,0,0,1,0,0,0,0,145,1,0,0,13,0,0,5,0,0,0,0,0,0,12,0,1,1,0,0,0,0,15,0,0,0,0,0,0,0,7033,327,1941,24
9,28/02/2021 , 06/03/2021,0,0,0,0,1,0,0,0,139,1,0,0,5,0,0,3,0,0,0,1,0,0,16,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,7118,346,1894,22
10,07/03/2021 , 13/03/2021,0,0,0,0,1,0,0,0,145,0,0,0,12,0,0,2,0,0,0,0,0,0,13,1,0,1,2,0,0,0,22,0,0,0,0,0,0,0,6809,311,1963,20
11,14/03/2021 , 20/03/2021,0,0,0,0,2,0,0,0,129,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,6095,242,1792,21
12,21/03/2021 , 27/03/2021,0,0,0,0,1,0,0,0,120,0,0,0,8,0,0,2,0,0,0,1,0,0,14,0,1,0,0,0,0,0,20,0,0,0,0,0,0,1,6675,234,2035,15
13,28/03/2021 , 03/04/2021,0,0,0,0,0,0,0,0,113,0,0,0,17,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,5370,170,1595,19
14,04/04/2021 , 10/04/2021,0,0,0,1,1,0,0,0,101,0,0,0,11,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,6849,246,2127,28
15,11/04/2021 , 17/04/2021,0,1,0,0,0,0,0,0,112,0,0,0,14,0,0,2,0,0,0,0,0,0,12,0,1,4,0,0,0,0,20,0,0,0,0,0,0,0,6929,224,2257,20
16,18/04/2021 , 24/04/2021,0,1,0,0,0,0,0,0,128,1,0,0,25,0,0,4,0,0,0,2,0,0,10,0,1,2,0,0,0,0,26,0,0,0,0,0,0,0,7410,235,2453,14
17,25/04/2021 , 01/05/2021,0,0,0,0,2,0,0,0,83,0,0,0,22,0,0,5,0,0,0,0,0,0,12,1,0,1,0,0,0,0,27,0,0,0,0,0,0,0,6936,224,2265,25
18,02/05/2021 , 08/05/2021,0,0,0,1,0,0,0,0,117,0,0,0,19,0,0,7,0,0,0,0,0,1,17,0,1,3,0,0,0,0,22,0,0,0,0,0,0,0,8023,220,2089,17
19,09/05/2021 , 15/05/2021,0,0,0,0,3,0,0,0,92,0,0,0,20,0,0,6,0,0,0,0,0,0,8,0,0,1,0,0,3,0,21,0,0,0,0,0,0,0,6625,220,1775,24
20,16/05/2021 , 22/05/2021,0,0,0,0,1,0,0,0,116,3,0,0,8,0,0,6,0,0,0,0,0,1,13,1,1,1,0,0,0,0,14,0,0,0,0,0,0,0,9177,193,1598,16
21,23/05/2021 , 29/05/2021,0,0,0,0,1,0,0,0,129,0,0,0,13,0,0,3,0,0,0,1,0,0,12,1,0,1,0,0,0,0,15,0,0,0,0,0,0,0,5393,154,1109,15
22,30/05/2021 , 05/06/2021,0,0,1,0,0,0,0,0,118,0,0,0,9,0,0,3,0,0,0,0,0,0,11,0,1,1,0,0,0,0,29,0,0,0,0,0,0,0,5005,196,1234,19
23,06/06/2021 , 12/06/2021,0,0,0,0,1,0,0,0,137,0,0,0,31,0,0,2,0,0,0,0,0,0,16,0,0,1,0,0,0,0,25,0,0,0,0,0,0,1,4158,181,1291,12
24,13/06/2021 , 19/06/2021,0,0,0,0,2,0,0,0,136,0,1,0,22,0,0,4,0,0,0,0,0,0,9,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,3958,174,1257,20
25,20/06/2021 , 26/06/2021,0,0,0,0,0,0,0,0,126,1,0,0,36,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4165,165,1284,11
26,27/06/2021 , 03/07/2021,0,0,0,1,3,0,0,0,112,0,0,0,31,0,0,2,0,0,0,1,0,0,15,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4391,233,1600,12
27,04/07/2021 , 10/07/2021,0,0,1,0,0,0,0,0,104,0,1,0,24,0,0,2,0,0,0,0,0,1,20,0,0,1,0,0,1,0,26,0,0,0,0,0,0,0,4564,202,1748,18
28,11/07/2021 , 17/07/2021,0,0,3,0,1,0,0,0,75,0,0,0,33,0,0,5,0,0,0,1,0,1,17,1,3,1,0,0,0,0,12,0,0,0,0,0,0,0,5634,218,1818,20
29,18/07/2021 , 24/07/2021,0,0,0,0,2,0,0,0,79,0,0,0,20,0,0,5,0,0,0,1,0,0,12,0,0,1,0,0,0,0,16,0,0,0,0,0,0,1,5772,180,1474,24
30,25/07/2021 , 31/07/2021,0,0,2,0,2,0,0,0,82,0,0,0,34,0,0,6,0,0,0,0,0,2,21,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,6101,229,1540,15
31,01/08/2021 , 07/08/2021,0,0,0,0,2,0,0,0,70,0,0,0,27,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,26,0,0,0,0,0,0,0,5350,166,1581,14
32,08/08/2021 , 14/08/2021,0,0,1,0,0,0,0,0,79,0,0,0,14,0,0,3,0,0,0,0,0,1,9,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,4336,138,1271,14
33,15/08/2021 , 21/08/2021,0,0,0,1,2,0,0,0,55,0,0,0,15,0,0,3,0,0,0,0,0,2,17,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5594,210,1739,15
34,22/08/2021 , 28/08/2021,0,0,0,0,1,0,0,0,52,0,0,0,20,0,0,2,0,0,0,0,0,0,7,1,1,0,0,0,0,0,37,0,0,0,0,0,0,0,5953,178,1714,18
35,29/08/2021 , 04/09/2021,0,0,0,0,3,0,0,0,46,0,0,0,36,0,0,2,0,0,0,0,0,0,18,0,0,2,0,0,1,0,24,0,0,0,0,0,0,0,6129,209,1713,16
36,05/09/2021 , 11/09/2021,1,0,2,1,3,0,0,0,59,1,0,0,30,0,0,4,0,0,0,1,0,0,17,0,0,4,0,0,0,0,30,0,0,0,0,0,0,0,6199,198,1408,22
37,12/09/2021 , 18/09/2021,0,0,0,0,0,0,0,0,74,0,0,0,46,0,0,7,0,0,0,0,0,0,18,0,0,0,0,0,2,0,18,0,0,0,0,0,0,1,7234,226,1597,20
38,19/09/2021 , 25/09/2021,0,0,0,1,0,0,0,0,109,1,0,0,47,0,0,8,0,0,0,0,0,0,9,1,1,0,0,0,1,0,27,0,0,0,0,0,0,0,6934,167,1624,22
39,26/09/2021 , 02/10/2021,0,0,2,1,1,0,0,0,105,0,0,0,27,0,0,3,0,0,0,0,0,0,15,0,0,2,0,0,2,0,10,0,0,0,0,0,0,1,6469,174,1412,13
40,03/10/2021 , 09/10/2021,0,0,0,0,1,0,0,0,104,0,0,0,18,0,0,2,0,0,0,1,0,0,12,0,1,0,0,0,2,0,17,0,0,0,0,0,0,0,6492,195,1349,14
41,10/10/2021 , 16/10/2021,0,0,0,1,1,0,0,0,85,0,0,0,18,0,0,3,0,0,0,0,0,0,12,0,0,1,0,0,1,0,19,0,0,0,0,0,0,0,6423,207,1433,14
42,17/10/2021 , 23/10/2021,0,0,0,0,1,0,0,0,76,0,0,0,23,0,0,6,0,0,0,0,0,0,10,0,1,0,0,0,1,0,23,0,0,0,0,0,0,0,6528,183,1419,27
43,24/10/2021 , 30/10/2021,0,0,0,1,0,0,0,0,75,0,0,0,18,0,0,3,0,0,0,0,0,0,11,1,1,0,0,0,1,0,19,0,0,0,0,0,0,0,6650,222,1558,16
44,31/10/2021 , 06/11/2021,0,0,0,1,0,0,0,0,59,0,0,0,17,0,0,3,0,0,0,0,0,0,3,0,1,1,0,0,3,0,22,0,0,0,0,0,0,1,5206,176,1235,9
45,07/11/2021 , 13/11/2021,0,0,0,0,0,0,0,0,43,0,0,0,23,0,0,3,0,0,0,0,0,1,10,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,6368,171,1590,17
46,14/11/2021 , 20/11/2021,2,0,2,0,0,0,0,0,56,0,0,0,18,0,0,5,0,0,0,1,0,0,15,1,0,2,0,0,0,0,16,0,0,0,0,0,0,0,5968,185,1528,11
47,21/11/2021 , 27/11/2021,0,0,0,1,0,0,0,0,63,0,0,0,19,0,0,4,0,0,0,0,0,0,14,1,1,2,0,0,2,0,14,0,0,0,0,0,0,0,5743,220,1533,14
48,28/11/2021 , 04/12/2021,0,0,0,0,0,0,0,0,48,0,0,0,24,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,5379,200,1464,13
49,05/12/2021 , 11/12/2021,1,0,0,1,0,0,0,0,65,1,0,0,23,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,5328,198,1508,18
50,12/12/2021 , 18/12/2021,0,0,1,1,1,0,0,0,61,0,0,0,18,0,0,2,0,0,0,0,0,0,14,0,1,1,0,0,0,0,17,0,0,0,0,0,1,0,4808,221,1478,17
51,19/12/2021 , 25/12/2021,0,1,0,0,1,0,0,0,67,0,0,0,34,0,0,4,0,0,0,0,0,2,17,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3916,166,1266,17
52,26/12/2021 , 01/01/2022,0,0,0,1,0,0,0,0,76,0,0,0,45,0,0,2,0,0,0,0,0,0,11,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,4067,186,1292,7
