Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Monkeypox,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,2/1/2022 - 8/1/2022,,0,0,1,0,3,0,0,0,106,0,0,0,50,0,0,0,0,0,0,0,0,0,17,0,2,1,0,0,1,0,23,0,0,0,0,0,0,2,5375,209,1634,19
2,9/1/2022 - 15/1/2022,,0,0,1,1,0,0,0,0,146,0,0,0,46,0,0,0,1,0,0,0,0,1,19,0,1,0,0,0,1,0,18,0,0,0,0,0,0,0,6945,236,1815,13
3,16/1/2022 - 22/1/2022,,0,0,2,0,0,0,0,0,180,2,0,0,48,0,0,0,2,0,0,0,1,1,12,2,0,1,0,0,1,0,16,0,0,0,0,0,0,0,8621,241,1738,10
4,23/1/2022 - 29/1/2022,,0,0,1,0,1,0,0,0,171,2,0,0,21,0,0,0,1,0,0,0,1,0,17,0,2,2,1,0,0,0,14,0,0,0,0,0,0,0,10510,226,1742,6
5,30/1/2022 - 5/2/2022,,0,0,3,0,0,0,0,0,154,1,1,0,28,0,0,0,1,0,0,0,1,1,17,0,0,1,0,0,0,0,15,0,0,0,0,0,0,1,8834,142,1090,12
6,6/2/2022 - 12/2/2022,,0,2,0,0,0,0,0,0,169,1,0,0,42,0,0,0,7,0,0,0,1,0,11,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,14547,217,1778,14
7,13/2/2022 - 19/2/2022,,0,0,0,0,0,0,0,0,206,0,0,0,61,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,22,0,0,0,0,0,0,1,17908,195,1742,16
8,20/2/2022 - 26/2/2022,,0,0,0,0,0,0,0,0,201,1,0,0,51,0,0,0,5,0,0,0,1,1,13,0,0,1,0,0,1,0,19,0,0,0,0,0,0,0,17859,202,1613,10
9,27/2/2022 - 5/3/2022,,0,0,2,0,0,0,0,0,263,0,0,0,38,0,0,0,0,0,0,0,1,0,14,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,16403,183,1700,15
10,6/3/2022 - 12/3/2022,,1,0,0,1,0,0,0,0,369,0,0,0,26,0,0,0,1,0,0,0,1,0,12,1,0,2,0,0,2,0,27,0,0,0,0,0,0,0,14442,198,1606,11
11,13/3/2022 - 19/3/2022,,0,1,0,0,0,0,0,0,421,0,0,0,34,0,0,0,2,0,0,0,0,0,16,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,11390,203,1481,20
12,20/3/2022 - 26/3/2022,,1,0,1,0,1,0,0,0,441,0,1,0,30,0,0,0,4,0,0,0,1,0,20,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,9995,227,1791,17
13,27/3/2022 - 2/4/2022,,1,0,3,1,1,0,0,0,510,0,0,0,23,0,0,0,1,0,0,0,1,0,17,1,0,0,0,0,1,0,35,0,0,0,0,0,0,0,8231,197,1804,18
14,3/4/2022 - 9/4/2022,,3,0,0,2,1,0,0,0,643,1,0,0,38,0,0,0,1,0,0,0,0,0,16,1,2,0,0,0,1,0,31,0,0,0,0,0,0,0,8078,221,2057,12
15,10/4/2022 - 16/4/2022,,0,1,0,0,1,0,0,0,734,1,0,0,37,0,0,0,3,0,0,0,1,0,22,1,1,0,0,0,4,0,34,0,0,0,0,0,0,0,6477,195,1744,16
16,17/4/2022 - 23/4/2022,,0,0,1,0,0,0,0,0,942,0,0,0,49,0,0,0,5,0,0,0,1,1,17,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,8067,206,2246,22
17,24/4/2022 - 30/4/2022,,0,0,1,0,0,0,0,0,1003,1,0,0,59,0,0,0,3,0,0,0,2,0,16,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,7869,219,2286,22
18,1/5/2022 - 7/5/2022,,1,0,6,0,1,0,0,0,845,0,1,0,32,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,0,30,0,0,0,0,0,0,0,5822,158,1747,7
19,8/5/2022 - 14/5/2022,,0,1,3,0,1,0,0,0,1313,2,1,1,71,0,0,0,2,0,0,0,0,2,17,2,3,0,0,0,0,0,22,0,0,0,0,0,0,0,9396,217,2407,21
