Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis (non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Mpox,Middle East Respiratory Syndrome,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox,HFMD
1,29/12/2024 - 04/01/2025,,2,2,0,1,0,0,0,0,97,0,2,1,0,1,0,0,0,0,1,0,14,1,3,1,0,3,2,0,26,0,0,0,0,0,0,3,0,0,2931,121,474,6,28
2,05/01/2025 - 11/01/2025,,0,0,2,3,2,0,0,0,118,0,1,0,0,0,5,0,0,0,1,0,11,0,0,3,0,4,11,0,22,0,2,0,0,0,0,9,1,0,2871,104,416,4,23
3,12/01/2025 - 18/01/2025,,0,0,3,2,1,0,0,0,98,1,3,0,0,0,10,0,0,0,1,1,6,0,0,1,0,3,1,0,24,0,0,0,0,0,0,2,0,0,2866,100,398,5,24
4,19/01/2025 - 25/01/2025,,0,0,1,3,0,0,0,0,117,1,0,0,0,1,4,0,0,0,1,0,12,2,1,1,0,4,3,0,17,0,0,0,0,0,0,2,0,0,3045,97,435,6,24
5,26/01/2025 - 01/02/2025,,0,1,0,4,0,0,0,0,54,0,0,0,0,0,3,0,0,0,1,2,13,0,3,1,0,1,1,0,10,0,0,0,0,0,0,0,1,0,3392,131,453,9,37
6,02/02/2025 - 08/02/2025,,0,0,0,1,0,1,0,0,112,1,0,0,0,0,4,0,0,0,1,1,13,0,2,1,1,1,3,0,36,0,0,0,0,0,0,0,0,0,3381,111,468,7,32
7,09/02/2025 - 15/02/2025,,0,1,0,2,0,0,0,0,114,0,0,1,0,0,2,0,0,0,0,1,9,3,2,1,0,3,4,0,25,0,0,0,0,0,0,0,1,0,3046,119,442,7,33
8,16/02/2025 - 22/02/2025,,0,2,1,1,1,0,0,0,71,0,0,0,0,0,4,0,0,0,1,1,10,1,1,0,0,2,3,0,19,0,1,0,0,0,0,9,1,0,2749,109,451,5,31
9,23/02/2025 - 01/03/2025,,0,0,1,2,0,0,0,0,82,0,2,0,0,1,6,0,0,0,0,1,12,2,1,2,0,1,3,0,29,0,0,0,0,0,0,0,0,0,2617,106,465,6,29
10,02/03/2025 - 08/03/2025,,0,1,1,1,1,0,0,0,86,0,1,0,0,2,4,0,0,0,1,0,9,1,0,1,0,3,4,0,19,0,1,0,0,0,0,4,0,0,2542,103,438,3,35
11,09/03/2025 - 15/03/2025,,0,0,2,0,2,0,0,0,72,0,0,1,0,0,7,0,0,0,0,2,9,0,4,0,1,2,0,0,17,0,0,0,0,0,0,4,0,0,2431,108,448,8,39
12,16/03/2025 - 22/03/2025,,0,0,2,1,2,0,0,0,100,0,0,1,0,1,5,0,0,0,1,1,9,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2179,93,405,5,37
13,23/03/2025 - 29/03/2025,,0,0,1,0,2,0,0,0,98,0,1,0,0,1,8,0,0,0,1,0,10,0,0,0,0,3,2,0,26,0,0,0,0,0,0,1,0,0,2424,114,484,5,39
14,30/03/2025 - 05/04/2025,,0,1,1,1,2,0,0,0,87,0,0,1,0,0,4,0,0,0,1,3,9,0,0,2,0,0,2,0,24,0,0,0,0,0,0,0,0,0,2471,120,487,7,43
15,06/04/2025 - 12/04/2025,,0,0,1,3,0,0,0,0,92,0,0,1,0,0,5,0,0,0,1,1,11,2,3,2,0,3,2,0,23,0,0,0,0,0,0,1,0,0,2632,91,453,4,43
16,13/04/2025 - 19/04/2025,,0,0,1,1,1,0,0,0,94,0,0,0,0,0,5,0,0,0,0,0,9,0,0,1,0,0,0,0,22,0,0,0,0,0,0,2,1,0,2749,97,461,6,53
17,20/04/2025 - 26/04/2025,,0,0,1,3,2,0,0,0,107,0,0,3,0,1,5,0,0,0,0,0,13,0,6,2,1,0,1,0,18,0,0,0,0,0,0,0,0,0,2781,92,443,8,51
18,27/04/2025 - 03/05/2025,,0,0,1,3,1,0,0,0,89,0,0,0,0,0,3,0,0,0,1,2,9,0,2,0,0,3,3,0,29,0,0,0,0,0,0,2,0,0,2906,102,481,7,61
19,04/05/2025 - 10/05/2025,,0,0,1,1,4,0,0,0,104,1,0,0,0,2,2,0,0,0,0,1,19,1,2,1,0,6,3,0,30,0,0,0,0,0,0,5,0,0,2711,104,405,6,49
20,11/05/2025 - 17/05/2025,,0,0,0,0,0,0,0,0,102,1,0,0,0,0,7,0,0,0,1,0,14,0,0,2,1,0,3,0,22,0,0,0,0,0,0,5,0,0,2828,83,426,6,52
